Timestamp,What is your current age? (Please answer in number of years),Where have you been living for the past 3-4 months?,What are your opinions on the most recent lockdown?,How strictly do you follow the rules of lockdown? (All answers are anonymous) ,Are you living alone during lockdown?,Has your income been affected?,Since lockdown how much time have you spent outdoors per week?,Since lockdown how much time have you spent exercising per week?,On average how many days in the past week did you feel low energy/depressed/sad/anxious?,On average how many days in the past week did you feel happy/energetic/upbeat/joyful?,"How many hours spent on entertainment technology on average per day? (e.g Social media, Netflix ect. please answer in numeric value)",How many hours hours on average do you spend exercising per week? (please answer in numbers of hours)
9/12/2021 12:27:18,53,Greater Sydney,5,5,No,3,3,3,5,1,4,
9/12/2021 12:28:10,45,Greater Sydney,5,5,No,3,3,3,5,1,3,
9/12/2021 12:28:54,19,"LGA of ""concern""",5,4,No,4,1,1,1,5,18,
9/12/2021 12:35:21,51,Greater Sydney,5,4,Yes,3,5,5,0,5,1-2,
9/12/2021 12:42:20,20,"LGA of ""concern""",5,5,No,5,1,1,3,4,10,
9/12/2021 12:48:09,22,Greater Sydney,4,5,No,3,2,1,4,2,9,
9/12/2021 13:19:44,23,Greater Sydney,4,4,No,3,5,3,2,5,4-5/day,
9/12/2021 13:22:07,22,Greater Sydney,4,4,No,4,5,5,2,5,4,
9/12/2021 14:44:42,22,Greater Sydney,5,4,No,1,2,1,4,4,2,
9/14/2021 14:28:02,18,Greater Sydney,5,3,No,4,4,2,1,6,6,
9/14/2021 14:28:50,19,Greater Sydney,4,4,No,3,3,5,2,4,5,
9/14/2021 14:30:44,16,Greater Sydney,5,5,No,3,2,1,0,7,7,
9/14/2021 14:31:40,18,Greater Sydney,5,4,No,4,2,5,3,5,15,
9/14/2021 14:32:09,18,Greater Sydney,5,5,No,4,2,3,3,2,6,
9/14/2021 14:32:21,18,Greater Sydney,4,5,No,3,4,4,5,3,9,
9/14/2021 14:32:32,18,Regional or Rural NSW,4,5,No,2,2,2,5,2,10,
9/14/2021 14:34:46,16,Greater Sydney,5,4,No,3,3,2,6,2,About 8-9,
9/14/2021 14:36:32,18,Greater Sydney,1,2,No,3,1,2,3,4,10+,
9/14/2021 14:36:39,19,Regional or Rural NSW,4,4,No,4,3,3,2,5,5,
9/14/2021 14:38:05,18,Greater Sydney,3,4,No,3,2,4,4,2,5 hours,
9/14/2021 14:39:21,50,Greater Sydney,2,4,No,3,3,3,6,3,2,
9/14/2021 14:39:25,18,Regional or Rural NSW,5,5,No,3,2,2,4,3,7,
9/14/2021 14:39:46,20,Greater Sydney,3,4,No,3,3,3,7,1,8,
9/14/2021 14:40:44,18,Regional or Rural NSW,5,4,No,4,4,5,4,2,7,
9/14/2021 14:41:23,52,Greater Sydney,4,5,Yes,3,2,4,2,4,3,
9/14/2021 14:43:23,18,Greater Sydney,4,5,No,1,1,3,5,2,12,
9/14/2021 14:45:24,18,Greater Sydney,4,4,No,3,5,5,5,4,8 hrs,
9/14/2021 14:45:49,21,Greater Sydney,4,3,No,4,3,4,5,5,4,
9/14/2021 15:03:29,46,Greater Sydney,5,5,No,3,2,3,1,2,2,
9/14/2021 15:03:37,25,Greater Sydney,2,3,No,3,5,5,7,5,6,
9/14/2021 15:07:13,21,Greater Sydney,5,4,No,1,5,3,1,3,5,
9/14/2021 15:09:07,25,Greater Sydney,5,3,No,4,2,2,1,4,6,
9/14/2021 15:13:06,22,Greater Sydney,3,4,No,3,3,3,4,3,10,
9/14/2021 15:13:28,18,Greater Sydney,4,5,No,2,1,1,7,4,14+,
9/14/2021 15:14:28,20,Greater Sydney,4,4,No,3,2,2,1,5,5,
9/14/2021 15:16:17,19,Greater Sydney,3,5,No,4,1,1,5,1,12,
9/14/2021 15:16:49,17,Greater Sydney,4,5,No,3,5,5,2,4,5,
9/14/2021 15:17:35,18,Greater Sydney,2,4,No,3,3,3,5,2,4-5,
